TaxaCode	Genus	Species	Total Of Abundance	2009-ARM1-5	2009-ARM1-8	2009-ARM1-9	2009-ARM2-4	2009-ARM2-5	2009-ARM2-8	2009-ARM2-9	2009-ARM3-4	2009-ARM3-5	2009-ARM3-8	2009-ARM3-9	2009-ARM4-4	2009-ARM4-5	2009-ARM4-8	2009-ARM4-9	2009-BAL1-4	2009-BAL1-5	2009-BAL1-8	2009-BAL1-9	2009-DRA1-4	2009-DRA1-5	2009-DRA1-8	2009-DRA1-9	2009-WHE1-4	2009-WHE1-5	2009-WHE1-8	2009-WHE1-9	2009-WHE2-5	2009-WHE2-8	2009-WHE2-9	2009-ZET1-4	2009-ZET1-5	2009-ZET1-8	2009-ZET1-9	2009-ZET2-4	2009-ZET2-5	2009-ZET2-8	2009-ZET2-9	2010-ARM1-10	2010-ARM1-11	2010-ARM1-15	2010-ARM2-10	2010-ARM2-11	2010-ARM2-15	2010-ARM3-10	2010-ARM3-11	2010-ARM3-14	2010-ARM4-10	2010-ARM4-11	2010-ARM4-14	2010-ARM4-15	2010-BAL1-10	2010-BAL1-11	2010-BAL1-14	2010-BAL1-15	2010-DRA1-10	2010-DRA1-11	2010-DRA1-15	2010-WHE1-10	2010-WHE1-11	2010-WHE1-15	2010-WHE2-10	2010-WHE2-11	2010-WHE2-14	2010-WHE2-15	2010-ZET1-10	2010-ZET1-11	2010-ZET1-14	2010-ZET1-15	2010-ZET2-10	2010-ZET2-11	2010-ZET2-14	2010-ZET2-15	2011-ARM1-16	2011-ARM1-17	2011-ARM1-20	2011-ARM1-21	2011-ARM2-16	2011-ARM2-17	2011-ARM2-20	2011-ARM2-21	2011-ARM3-16	2011-ARM3-17	2011-ARM3-20	2011-ARM3-21	2011-ARM4-16	2011-ARM4-17	2011-ARM4-20	2011-ARM4-21	2011-BAL1-16	2011-BAL1-17	2011-BAL1-20	2011-BAL1-21	2011-DRA1-16	2011-DRA1-17	2011-DRA1-20	2011-DRA1-21	2011-WHE1-16	2011-WHE1-17	2011-WHE1-20	2011-WHE1-21	2011-WHE2-16	2011-WHE2-17	2011-WHE2-20	2011-WHE2-21	2011-ZET1-16	2011-ZET1-17	2011-ZET1-21	2011-ZET2-16	2011-ZET2-17	2011-ZET2-20	2011-ZET2-21	2012-ARM1-22	2012-ARM1-23	2012-ARM1-26	2012-ARM1-27	2012-ARM2-22	2012-ARM2-23	2012-ARM2-26	2012-ARM2-27	2012-ARM3-23	2012-ARM3-27	2012-ARM4-22	2012-ARM4-23	2012-ARM4-26	2012-ARM4-27	2012-BAL1-22	2012-BAL1-23	2012-BAL1-26	2012-BAL1-27	2012-DRA1-22	2012-DRA1-23	2012-DRA1-27	2012-WHE1-22	2012-WHE1-23	2012-WHE1-26	2012-WHE1-27	2012-WHE2-22	2012-WHE2-26	2012-WHE2-27	2012-ZET1-22	2012-ZET1-23	2012-ZET1-26	2012-ZET1-27	2012-ZET2-22	2012-ZET2-23	2012-ZET2-26	2012-ZET2-27	2013-ARM1-28	2013-ARM1-29	2013-ARM1-32	2013-ARM1-33	2013-ARM2-28	2013-ARM2-29	2013-ARM2-32	2013-ARM3-28	2013-ARM3-29	2013-ARM3-32	2013-ARM3-33	2013-ARM4-28	2013-ARM4-29	2013-ARM4-32	2013-ARM4-33	2013-BAL1-28	2013-BAL1-29	2013-BAL1-32	2013-BAL1-33	2013-DRA1-28	2013-DRA1-29	2013-DRA1-32	2013-DRA1-33	2013-WHE1-28	2013-WHE1-29	2013-WHE1-32	2013-WHE1-33	2013-WHE2-28	2013-WHE2-29	2013-WHE2-32	2013-WHE2-33	2013-ZET1-28	2013-ZET1-29	2013-ZET1-32	2013-ZET1-33	2013-ZET2-28	2013-ZET2-29	2013-ZET2-32	2013-ZET2-33
HOFLAT-22000015	Locrona	sp. 1YB	34													1		1					1			2							1				1			1																					1								1	1	1															1	1	1						1				1	1				1			1			2	2		1																				1														1	1				1											1		1				1								1	1													
HOFLAT-22000017	Metcracis	humeralis	38											2				1												2									2										2																1					1								1								3	1		1	3		1	1	1	1			1	2															1	1																		1			1			1		1	1								1								1	1																1															
HOFLAT-22000018	Flataloides	obliqua	12	1									1																											1							1		2																						1		1													1				1																							1																																1																																													
HOFLAT-22000019	Deocerus	corniculatus	54										1	2		1	1					2					1	1	1			1				1								1		1		1	1			7		1										5		1											1	1								1				2			1						1		1	1	1				1						4					1									1															1						2			1								1						1															1										
HOFLAT-22000021	Poekilloptera	phalaenoides	2					1																																																																																																																																																																																			1			
HOFLAT-22000023	Eurocerus	sinuata	2						1																																1																																																																																																																																																					
HOFLAT-22000027	Atracis	metcalfi	7																																																				1										1																					1													1			1													1																																																																1											
HOFLAT-22000029	Flatormenis	sp. 6YB near albescens	2																																																1																												1																																																																																																															
HOFLAT-22000032	Atracis	sp. 1YB	1																																																																																																		1																																																																																									
HOFLAT-22000035	Anormenis	pehlkei	21	1				1			1	1			1	2		1								1		2					1		1				2		1				1							1																					1																																																																																																																		2			
HOFLAT-22000037	Flatormenis	sp. 5YB	50	4			1	1				1			1	2			3				1	1				1		2	2				1	1		1	3			1			1			1			1				1				1	1		3	2		2								1																																											3				2																																							1																1					2										
HOFLAT-22000038	Ormenis	roscida	65				2				1				2			1	1				1	1			1									2	1				1	2			2			6			7				1				2			1			1					1			6																																																															1																2						1	5				1		1						3						1		6	1										
HOFLAT-22000039	Flataloides	sp. 2YB	1																																																																																																					1																																																																																						
HOFLAT-22000041	Dascalia	sp. 2YB	2																																																																																																																																								1																																						1													
HOFLAT-22000042	Dascalia	sp. 1YB	1																																																																																																																																																1																																											
