CollectionNumber,Locality_Code,DBH,X_coordinate,Y_coordinate,CutdownDate,GrowthForm,TrunkHeight,CrownHeight,CrownWidth,MatureLeafTotalWeight,YoungLeafTotalWeight,X.Carbon,X.Nitrogen,auto.BYHAND,WholeTreeMatureLeafArea,WholeTreeYoungLeafArea,MatureLeafSampleAreaBeforeHerbivory,MatureLeafSampleAreaAfterHerbivory,YoungLeafSampleAreaBeforeHerbivory,YoungLeafSampleAreaAfterHerbivory,MatureLeafSampleWetWeight,YoungLeafSampleWetWeight,comments,exudate.absent,exudate.white,exudate.cream,exudate.yellow,exudate.orange,exudate.red,exudate.black,exudate.colorless,OLD.NumberOfCaterpillarsDB,OLD.NumberLiveMinesDB,OLD.NumberDeadMinesDB,latex.absent,OLD.SLADB,OLD.Carbon,OLD.Nitrogen,SLA,isZ,Family_ID,Genus_ID,Species_ID,Species_AUTHOR,CorrTaxa2016,Morphospecies,auto.X.Carbon,auto.X.Nitrogen,auto.SLA,auto.latex,auto.YoungTotalFromSample,auto.MatureTotalFromSample,REMOVE.missCutdown,REMOVE.noLeafWeight,TotalLeafWeight,TotalLeafArea,TotalTreeHeight,YoungLeafHerbivory,MatureLeafHerbivory,auto.CrownHeight,auto.CrownHeight.no,auto.CrownHeight.rsq,auto.CrownWidth,auto.CrownWidth.no,auto.CrownWidth.rsq,auto.TrunkHeight,auto.TrunkHeight.no,auto.TrunkHeight.rsq,NumberOfCaterpillarsVOJTA,LOOKUP,Phill-caterpillars,Compare,NumberDeadMinesOndra,LOOKUP,Phil-deadMines,Compare,NumberLiveMinesOndra,LOOKUP,Phil-liveMines,Compare,OuterBarkTexture.smooth,OuterBarkTexture.rough,OuterBarkTexture.flaky,OuterBarkTexture.lenticels,fissures.vertical,fissures.horizontal,fissures.broad,fissures.narrow,bark.black,bark.darkbrown,bark.brown,bark.lightbrown,bark.orange,bark.yellow,bark.red,bark.pink,bark.white,bark.cream,bark.grey,bark.green,bark.OTHER,cambium.black,cambium.darkbrown,cambium.brown,cambium.lightbrown,cambium.orange,cambium.yellow,cambium.red,cambium.pink,cambium.white,cambium.cream,cambium.grey,cambium.green,cambium.OTHER,wood.black,wood.darkbrown,wood.brown,wood.lightbrown,wood.orange,wood.yellow,wood.red,wood.pink,wood.white,wood.cream,wood.grey,wood.green,SpeciesMissing,TOREMOVE,TOREMOVE.comment,Herbivory_Young_missing,Herbivory_Mature_missing,FamilyNEW14,GenusNEW14,speciesNEW14,MorphospeciesNEW,SpeciesNEW-OLD,Family-OLD,Genus-OLD,Species-OLD,SpeciesNameDiff,Herbivory Added Mature/Young
WP1A0011,WP,14,9.57,5.525,04-Mar-06,tree,12.8,6.8,3.7,4.1,0,46.91425,2.50625,0,15.2710015228,0,2963.642,2935.012,NA,NA,78.8,0,,0,1,1,1,0,0,0,0,0,0,0,0,125,46.91425,2.50625,125,0,Euphorbiaceae,Pimelodendron,Pimelodendron amboinicum,amboinicum,0,,1,1,0,0,0,0,NO,NO,4.1,15.2710015228,19.6,NA,28.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,no,no,no,data ok,data ok,Euphorbiaceae,Pimelodendron,amboinicum,,Pimelodendron amboinicum,Euphorbiaceae,Pimelodendron,Pimelodendron amboinicum,0,0
WP1A0012,WP,19.1,11.443,6.876,06-Mar-06,tree,11.3,7.6,4.6,11.4,0.3126,47.198,1.896,0,29.0794940345,0.484152694,3510.678,3249.761,1127.707,1107.387,127.4,71.5,sterile plant vouchers,0,0,0,0,0,1,0,0,0,3,148,0,115.9793814,47.91716667,2.032666667,115.9793814433,0,Myristicaceae,Horsfieldia,Horsfieldia basifissa,basifissa,0,,0,0,0,0,0,0,NO,NO,11.7126,29.5636467285,18.9,20.32,260.917,0,0,0,0,0,0,0,0,0,0,0,0,0,82,148,148,NNN,3,3,3,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,no,no,no,chance to find,chance to find,Myristicaceae,Horsfieldia,basifissa,,Horsfieldia basifissa,Myristicaceae,Horsfieldia,Horsfieldia basifissa,0,2
WP1A0013,WP,11.3,13.796,1.094,07-Mar-06,tree,10,4.6,4.6,4,0.082,48.784,1.592,0,13.5766775701,0.206148,3042.653,2905.409,1446,1257,85.6,50,sterile plant vouchers,1,0,0,0,0,0,0,0,0,1,0,1,110.8374384,49.34066667,1.782333333,110.8374384236,0,Dipterocarpaceae,Vatica,Vatica papuana,papuana,0,,0,0,0,0,0,0,NO,NO,4.082,13.7828255701,14.6,189,137.244,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,NNN,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,1,0,0,0,no,no,no,data ok,data ok,Dipterocarpaceae,Vatica,papuana,,Vatica papuana,Dipterocarpaceae,Vatica,Vatica papuana,0,0
WP1A0014,WP,91.9,15.693,5.712,14-Mar-06,tree,20.4,21.65,12.5,62,0,41.67,1.843,0,170.66422723,0,15270.169,14657.855,NA,NA,532.5,0,probably wrong DNA dry weight 0.244,0,1,1,0,0,0,0,0,2,0,0,0,NA,42.431,1.76725,137.6961279193,0,Moraceae,Artocarpus,Artocarpus sepicanus,sepicanus,0,,0,0,1,0,0,0,NO,NO,62,170.66422723,42.05,NA,612.314,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,0,1,0,0,0,0,0,no,no,no,data ok,data ok,Moraceae,Artocarpus,sepicanus,,Artocarpus sepicanus,Moraceae,Artocarpus,Artocarpus sepicanus,0,0
WP1A0015,WP,41.8,18.615,1.71,14-Mar-06,tree,18.55,13.03,7.05,51.2,0.34644,47.028,1.8755,0,144.6585606914,0.9364314144,10170.376,9676.019,1432,1418,342.47,52.46,,0,0,0,0,0,1,0,0,20,46,266,0,117.1875,47.328,1.72425,117.1875,0,Myristicaceae,Myristica,Myristica fatua,fatua,0,,1,1,0,0,0,0,NO,NO,51.54644,145.5949921059,31.58,14,494.357,0,0,0,0,0,0,0,0,0,20,20,20,0,267,267,267,0,47,46,46,NNN,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,1,0,0,0,0,1,0,0,0,no,no,no,data ok,data ok,Myristicaceae,Myristica,fatua,,Myristica fatua,Myristicaceae,Myristica,Myristica fatua,0,0
WP1A0016,WP,9.1,18.94,1.696,10-Mar-06,tree,7.65,3.1,1.7,2.4,0,44.461,2.097,0,10.092732254,0,3418.06,3376.86,NA,NA,80.3,0,sterile plant vouchers,1,0,0,0,0,0,0,0,8,5,31,1,225,45.37975,2.19175,225,0,Lecythidaceae,Barringtonia,Barringtonia apiculata,apiculata,0,,0,0,0,0,0,0,NO,NO,2.4,10.092732254,10.75,NA,41.2,0,0,0,0,0,0,0,0,0,9,9,9,0,30,31,31,NNN,5,5,5,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,no,no,no,data ok,data ok,Lecythidaceae,Barringtonia,apiculata,,Barringtonia apiculata,Lecythidaceae,Barringtonia,Barringtonia apiculata,0,0
WP1A0017,WP,16.2,19.695,1.571,14-Mar-06,climber,16.4228451173,0.01,0.01,10.3,0.2604,45.613,1.685,0,27.2746831615,0.7485466667,3260.288,3082.304,1839,1811,116.4,63,,0,1,0,0,0,0,0,0,1,0,0,0,83.33333333,44.32366667,1.976,83.3333333333,0,Euphorbiaceae,Omphalea,Omphalea papuana,papuana,0,,0,0,0,0,0,0,NO,NO,10.5604,28.0232298282,16.4328451173,28,177.984,1,2,1,1,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,0,1,0,0,0,no,no,no,data ok,data ok,Euphorbiaceae,Omphalea,papuana,,Omphalea papuana,Euphorbiaceae,Omphalea,Omphalea papuana,0,0
WP1A0018,WP,7.8,19.709,0.799,10-Mar-06,tree,8.4,4.3,4.1,3.6,0,45.876,1.814,0,12.8400267857,0,4971.645,4793.61,NA,NA,134.4,0,sterile plant vouchers,1,0,0,0,0,0,0,0,0,1,0,1,141.509434,46.4862,2.0064,141.5094339623,0,Lauraceae,Litsea,Litsea timoriana,timoriana,0,,0,0,0,0,0,0,NO,NO,3.6,12.8400267857,12.7,NA,178.035,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,data ok,data ok,Lauraceae,Litsea,timoriana,,Litsea timoriana,Lauraceae,Litsea,Litsea timoriana,0,0
WP1A0019,WP,40.9,16.731,4.184,14-Mar-06,tree,11.8,15.29,9.34,44.5,0,43.843,2.082,0,185.9002844828,0,12633.624,12357.147,NA,NA,295.8,0,,1,0,0,0,0,0,0,0,1,2,34,1,150,43.6605,1.92525,150,0,Lamiaceae,Teijsmanniodendron,Teijsmanniodendron bogoriense,bogoriense,0,,0,0,0,0,0,0,NO,NO,44.5,185.9002844828,27.09,NA,276.477,0,0,0,0,0,0,0,0,0,1,1,1,0,34,34,34,0,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,1,0,0,0,,0,0,1,1,0,0,0,0,0,0,0,0,no,no,no,data ok,data ok,Lamiaceae,Teijsmanniodendron,bogoriense,,Teijsmanniodendron bogoriense,Lamiaceae,Teijsmanniodendron,Teijsmanniodendron bogoriense,0,0
WP1A0020,WP,8.3,16.961,5.057,07-Mar-06,tree,6.4,4.1,2.95,1.6,0,49.243,1.44,0,4.0281036123,0,2917.556,2857.436,NA,NA,113.5,0,sterile plants vouchers. First ID Pouteria sp,0,1,0,0,0,0,0,0,0,0,0,0,82.41758242,48.2754,1.3674,82.4175824176,0,Sapotaceae,Palaquium,Palaquium morobense,morobense,0,,0,0,0,0,0,0,NO,NO,1.6,4.0281036123,10.5,NA,60.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,1,1,0,0,0,0,0,0,0,0,no,no,no,data ok,data ok,Sapotaceae,Palaquium,morobense,,Palaquium morobense,Sapotaceae,Palaquium,Palaquium morobense,0,0
WP1A0021,WP,42.8,18.125,9.364,09-Mar-06,tree,7.6,10.6,10.1,92.6,0.9656,50.949,1.963,0,282.1171695516,2.5632868421,17381.304,16509.643,1644,1614,541.9,60.8,,1,0,0,0,0,0,0,0,29,10,154,1,112.5,49.34066667,1.782333333,112.5,0,Dipterocarpaceae,Vatica,Vatica papuana,papuana,0,,0,0,0,0,0,0,NO,NO,93.5656,284.6804563937,18.2,30,871.661,0,0,0,0,0,0,0,0,0,29,29,29,0,149,154,154,NNN,10,10,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,1,0,0,1,0,0,0,no,no,no,data ok,data ok,Dipterocarpaceae,Vatica,papuana,,Vatica papuana,Dipterocarpaceae,Vatica,Vatica papuana,0,0
WP1A0022,WP,6.4,18.731,9.668,07-Mar-06,tree,3.8,3.8,2,2.6,0,46.626,3.166,0,8.8046205607,0,3133.53,2898.752,NA,NA,85.6,0,sterile plant vouchers > First ID Aglaia sp. Last up date from FRI list >aff kaniense,1,0,0,0,0,0,0,0,1,0,0,1,157.3426573,46.626,3.166,157.3426573427,0,Meliaceae,Aglaia,Aglaia lepiorrhachis,lepiorrhachis,0,,0,0,0,0,0,0,NO,NO,2.6,8.8046205607,7.6,NA,234.778,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,no,no,no,data ok,data ok,Meliaceae,Aglaia,lepiorrhachis,,Aglaia lepiorrhachis,Meliaceae,Aglaia,Aglaia lepiorrhachis,0,0
WP1A0023,WP,7.6,16.255,9.71,04-Mar-06,tree,5.4,4.8,5,4.4,0.9869,46.4862,2.0064,0,16.0360968474,3.6099137349,3002.901,2890.142,1543,1518,79.3,41.5,sterile plant vouchers,1,0,0,0,0,0,0,0,1,3,35,1,212.2641509,46.4862,2.0064,212.2641509434,0,Lauraceae,Litsea,Litsea timoriana,timoriana,0,,1,1,0,0,0,0,NO,NO,5.3869,19.6460105824,10.2,25,112.759,0,0,0,0,0,0,0,0,0,1,1,1,0,7,35,35,NNN,3,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,1,0,0,0,0,0,0,no,no,no,data ok,data ok,Lauraceae,Litsea,timoriana,,Litsea timoriana,Lauraceae,Litsea,Litsea timoriana,0,0
WP1A0024,WP,7.2,3.58,20,08-Mar-06,tree,2.1,5.9,2.7,3.2,0,43.6605,1.92525,0,13.7529781764,0,3070.488,2875.232,NA,NA,66.9,0,1B stays on original paper protocol,1,0,0,0,0,0,0,0,0,0,54,1,NA,43.6605,1.92525,144.8668210188,0,Lamiaceae,Teijsmanniodendron,Teijsmanniodendron bogoriense,bogoriense,0,,1,1,1,0,0,0,NO,NO,3.2,13.7529781764,8,NA,195.256,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,no,no,no,data ok,data ok,Lamiaceae,Teijsmanniodendron,bogoriense,,Teijsmanniodendron bogoriense,Lamiaceae,Teijsmanniodendron,Teijsmanniodendron bogoriense,0,0
WP1A0025,WP,27.6,4.63,20,10-Mar-06,tree,7,15.9,8.6,35,0,44.6,3.6275,0,NA,0,NA,NA,NA,NA,398.3,0,"Old name:WP1B0025, Sterile plant vouchers. No fissures.",1,0,0,0,0,0,0,0,0,0,7,1,122.9508197,44.6,3.6275,122.9508196721,0,Achariaceae,Pangium,Pangium edule,edule,0,,1,1,0,0,0,0,NO,NO,35,NA,22.9,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,1,0,0,1,,0,0,1,0,0,1,0,0,0,0,0,0,no,no,no,data ok,no chance to find,Achariaceae,Pangium,edule,,Pangium edule,Achariaceae,Pangium,Pangium edule,0,0
WP1A0026,WP,26.1,0,16.58,06-Mar-06,tree,17,9.55,4.4,43.2,0.2883,48.2754,1.3674,0,93.4751317212,0.5133389717,4752.68,4563.404,972.768,961.509,210.9,54,sterile plant vouchers,0,1,0,0,0,0,0,0,0,0,28,0,61.14130435,48.2754,1.3674,61.1413043478,0,Sapotaceae,Palaquium,Palaquium morobense,morobense,0,,1,1,0,0,0,0,NO,NO,43.4883,93.9884706929,26.55,11.259,189.276,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,no,no,no,chance to find,data ok,Sapotaceae,Palaquium,morobense,,Palaquium morobense,Sapotaceae,Palaquium,Palaquium morobense,0,1
