id,plot,PLOTPLOT,sub,subplot,sample_code_tree,TreesGeorge,UniqueInter,field_code,dbh,CAT,qty,SingleINTERACTION,bin_CATERPILLAR_ID,interaction code,FAMILY,Dubious_removal,Notes- move yess,plant_family,plant_genus,plant_species,morphospecies,PLANTx,subfamily,tribe,genus,species,subspecies
31,A0018,A,1A0018,A1,YP1A0018,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusAAP5694,CATY001,96.0,YP1A0018CATY001,9,no,AAP5694,YP1A0018AAP5694,Tortricidae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,Tortricinae,,Adoxophyes,Adoxophyes sp. D,
57,A0018,A,1A0018,A1,YP1A0018,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusAAP6512,CATY028,96.0,YP1A0018CATY028,1,no,AAP6512,YP1A0018AAP6512,Tortricidae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,,,,BOLD:AAP6512,
1176,A0172,A,3A0172,A3,YP3A0172,Planchonella_myrsinodendron,Planchonella_myrsinodendronAAP7433,CATY004,19.0,YP3A0172CATY004,2,no,AAP7433,YP3A0172AAP7433,Tortricidae,,,Sapotaceae,Planchonella,myrsinodendron,,SapotPlanmyrs,Tortricinae,,Adoxophyes,Adoxophyes nr. marmarygodes,
11,A0004,A,1A0004,A1,YP1A0004,Ficus_wassa,Ficus_wassaAAP7433,CATY001,23.4,YP1A0004CATY001,14,no,AAP7433,YP1A0004AAP7433,Tortricidae,,,Moraceae,Ficus,wassa,,MoracFicuwass,Tortricinae,,Adoxophyes,Adoxophyes nr. marmarygodes,
1105,A0122,A,3A0122,A3,YP3A0122,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusAAP7433,CATY004,41.0,YP3A0122CATY004,1,no,AAP7433,YP3A0122AAP7433,Tortricidae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,Tortricinae,,Adoxophyes,Adoxophyes nr. marmarygodes,
1113,A0122,A,3A0122,A3,YP3A0122,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusAAP7433,CATY010,41.0,YP3A0122CATY010,1,no,AAP7433,YP3A0122AAP7433,Tortricidae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,Tortricinae,,Adoxophyes,Adoxophyes nr. marmarygodes,
1742,A0186,A,4A0186,A4,YP4A0186,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusAAP7433,CATY003,46.9,YP4A0186CATY003,2,no,AAP7433,YP4A0186AAP7433,Tortricidae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,Tortricinae,,Adoxophyes,Adoxophyes nr. marmarygodes,
1164,A0167,A,3A0167,A3,YP3A0167,Ficus_congesta,Ficus_congestaAAQ2186,CATY001,5.0,YP3A0167CATY001,1,no,AAQ2186,YP3A0167AAQ2186,Erebidae,,,Moraceae,Ficus,congesta,,MoracFicucong,Catocalinae,,Ophyx,Ophyx sp. 10899,
1766,A0205,A,4A0205,A4,YP4A0205,Ficus_erythrosperma,Ficus_erythrospermaAAQ2186,CATY005,7.4,YP4A0205CATY005,2,no,AAQ2186,YP4A0205AAQ2186,Erebidae,,,Moraceae,Ficus,erythrosperma,,MoracFicueryt,Catocalinae,,Ophyx,Ophyx sp. 10899,
73,A0020,A,1A0020,A1,YP1A0020,Ficus_congesta,Ficus_congestaAAQ2186,CATY001,13.0,YP1A0020CATY001,1,no,AAQ2186,YP1A0020AAQ2186,Erebidae,,,Moraceae,Ficus,congesta,,MoracFicucong,Catocalinae,,Ophyx,Ophyx sp. 10899,
74,A0020,A,1A0020,A1,YP1A0020,Ficus_congesta,Ficus_congestaAAQ2186,CATY001,13.0,YP1A0020CATY001,1,no,AAQ2186,YP1A0020AAQ2186,Erebidae,,,Moraceae,Ficus,congesta,,MoracFicucong,Catocalinae,,Ophyx,Ophyx sp. 10899,
814,A0114,A,2A0114,A2,YP2A0114,Ficus_congesta,Ficus_congestaAAQ2186,CATY003,14.8,YP2A0114CATY003,1,no,AAQ2186,YP2A0114AAQ2186,Erebidae,,,Moraceae,Ficus,congesta,,MoracFicucong,Catocalinae,,Ophyx,Ophyx sp. 10899,
789,A0100,A,2A0100,A2,YP2A0100,Ficus_congesta,Ficus_congestaAAQ2186,CATY004,52.7,YP2A0100CATY004,1,no,AAQ2186,YP2A0100AAQ2186,Erebidae,,,Moraceae,Ficus,congesta,,MoracFicucong,Catocalinae,,Ophyx,Ophyx sp. 10899,
1778,A0220,A,4A0220,A4,YP4A0220,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusAAY6219,CATY003,48.5,YP4A0220CATY003,1,no,AAY6219,YP4A0220AAY6219,Erebidae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,Arctiinae,Lithosiini,Lambula,Lambula sp. USNM3,
769,A0092,A,2A0092,A2,YP2A0092,Sloanea_tieghemii,Sloanea_tieghemiiABW8356,CATY004,54.4,YP2A0092CATY004,1,yes,ABW8356,YP2A0092ABW8356,Erebidae,,,Elaeocarpaceae,Sloanea,tieghemii,,ElaeoSloatieg,Lymantriinae,Leucomini,Euproctis,Euproctis sp.,
754,A0088,A,2A0088,A2,YP2A0088,Perrottetia_alpestris,Perrottetia_alpestrisABW8597,CATY002,18.7,YP2A0088CATY002,4,no,ABW8597,YP2A0088ABW8597,Geometridae,,,Celastraceae,Perrottetia,alpestris,,CelasPerralpe,Ennominae,,Paradromulia,Paradromulia rufibrunnea,
148,A0055,A,1A0055,A1,YP1A0055,Sloanea_tieghemii,Sloanea_tieghemiiABW8597,CATY008,26.5,YP1A0055CATY008,1,no,ABW8597,YP1A0055ABW8597,Geometridae,,,Elaeocarpaceae,Sloanea,tieghemii,,ElaeoSloatieg,Ennominae,,Paradromulia,Paradromulia rufibrunnea,
1749,A0186,A,4A0186,A4,YP4A0186,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusABW8597,CATY012,46.9,YP4A0186CATY012,2,no,ABW8597,YP4A0186ABW8597,Geometridae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,Ennominae,,Paradromulia,Paradromulia rufibrunnea,
1756,A0186,A,4A0186,A4,YP4A0186,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusABW8597,CATY021,46.9,YP4A0186CATY021,1,no,ABW8597,YP4A0186ABW8597,Geometridae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,Ennominae,,Paradromulia,Paradromulia rufibrunnea,
118,A0047,A,1A0047,A1,YP1A0047,Elaeocarpus_schlechterianus,Elaeocarpus_schlechterianusABW8597,CATY004,78.3,YP1A0047CATY004,1,yes,ABW8597,YP1A0047ABW8597,Geometridae,,,Elaeocarpaceae,Elaeocarpus,schlechterianus,,ElaeoElaeschl,Ennominae,,Paradromulia,Paradromulia rufibrunnea,
1784,A0230,A,4A0230,A4,YP4A0230,Sloanea_sogerensis,Sloanea_sogerensisABW8636,CATY006,33.3,YP4A0230CATY006,1,yes,ABW8636,YP4A0230ABW8636,Geometridae,,,Elaeocarpaceae,Sloanea,sogerensis,,ElaeoSloasoge,,,,,
768,A0092,A,2A0092,A2,YP2A0092,Sloanea_tieghemii,Sloanea_tieghemiiABY9175,CATY003,54.4,YP2A0092CATY003,1,yes,ABY9175,YP2A0092ABY9175,Erebidae,,,Elaeocarpaceae,Sloanea,tieghemii,,ElaeoSloatieg,Lymantriinae,,Olene,Olene sp.,
114,A0047,A,1A0047,A1,YP1A0047,Elaeocarpus_schlechterianus,Elaeocarpus_schlechterianusABY9175,CATY001,78.3,YP1A0047CATY001,2,no,ABY9175,YP1A0047ABY9175,Erebidae,,,Elaeocarpaceae,Elaeocarpus,schlechterianus,,ElaeoElaeschl,Lymantriinae,,Olene,Olene sp.,
796,A0104,A,2A0104,A2,YP2A0104,Sloanea_tieghemii,Sloanea_tieghemiiACA8529,CATY002,5.9,YP2A0104CATY002,1,no,ACA8529,YP2A0104ACA8529,Geometridae,,,Elaeocarpaceae,Sloanea,tieghemii,,ElaeoSloatieg,Ennominae,,Alcis,Alcis irrufata,
797,A0104,A,2A0104,A2,YP2A0104,Sloanea_tieghemii,Sloanea_tieghemiiACA8529,CATY003,5.9,YP2A0104CATY003,1,no,ACA8529,YP2A0104ACA8529,Geometridae,,,Elaeocarpaceae,Sloanea,tieghemii,,ElaeoSloatieg,Ennominae,,Alcis,Alcis irrufata,
94,A0032,A,1A0032,A1,YP1A0032,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusACA8529,CATY009,6.5,YP1A0032CATY009,1,no,ACA8529,YP1A0032ACA8529,Geometridae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,Ennominae,,Alcis,Alcis irrufata,
809,A0111,A,2A0111,A2,YP2A0111,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusACA8529,CATY005,10.1,YP2A0111CATY005,1,no,ACA8529,YP2A0111ACA8529,Geometridae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,Ennominae,,Alcis,Alcis irrufata,
30,A0012,A,1A0012,A1,YP1A0012,Saurauia_schumanniana,Saurauia_schumannianaACA8529,CATY028,11.0,YP1A0012CATY028,1,yes,ACA8529,YP1A0012ACA8529,Geometridae,,,Actinidiaceae,Saurauia,schumanniana,,ActinSaurschu,Ennominae,,Alcis,Alcis irrufata,
22,A0008,A,1A0008,A1,YP1A0008,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusACA8529,CATY009,12.0,YP1A0008CATY009,1,no,ACA8529,YP1A0008ACA8529,Geometridae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,Ennominae,,Alcis,Alcis irrufata,
759,A0088,A,2A0088,A2,YP2A0088,Perrottetia_alpestris,Perrottetia_alpestrisACA8529,CATY009,18.7,YP2A0088CATY009,1,no,ACA8529,YP2A0088ACA8529,Geometridae,,,Celastraceae,Perrottetia,alpestris,,CelasPerralpe,Ennominae,,Alcis,Alcis irrufata,
1118,A0133,A,3A0133,A3,YP3A0133,Elaeocarpus_sphaericus,Elaeocarpus_sphaericusACA8529,CATY003,25.4,YP3A0133CATY003,1,yes,ACA8529,YP3A0133ACA8529,Geometridae,,,Elaeocarpaceae,Elaeocarpus,sphaericus,,ElaeoElaespha,Ennominae,,Alcis,Alcis irrufata,
140,A0055,A,1A0055,A1,YP1A0055,Sloanea_tieghemii,Sloanea_tieghemiiACA8529,CATY001,26.5,YP1A0055CATY001,3,no,ACA8529,YP1A0055ACA8529,Geometridae,,,Elaeocarpaceae,Sloanea,tieghemii,,ElaeoSloatieg,Ennominae,,Alcis,Alcis irrufata,
1755,A0186,A,4A0186,A4,YP4A0186,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusACA8529,CATY020,46.9,YP4A0186CATY020,1,no,ACA8529,YP4A0186ACA8529,Geometridae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,Ennominae,,Alcis,Alcis irrufata,
783,A0092,A,2A0092,A2,YP2A0092,Sloanea_tieghemii,Sloanea_tieghemiiACA8529,CATY017,54.4,YP2A0092CATY017,1,no,ACA8529,YP2A0092ACA8529,Geometridae,,,Elaeocarpaceae,Sloanea,tieghemii,,ElaeoSloatieg,Ennominae,,Alcis,Alcis irrufata,
86,A0027,A,1A0027,A1,YP1A0027,Gastonia_spectabilis,Gastonia_spectabilisACA8529,CATY005,87.9,YP1A0027CATY005,1,yes,ACA8529,YP1A0027ACA8529,Geometridae,,,Araliaceae,Gastonia,spectabilis,,AraliGastspec,Ennominae,,Alcis,Alcis irrufata,
65,A0018,A,1A0018,A1,YP1A0018,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusACA8529,CATY039,96.0,YP1A0018CATY039,4,no,ACA8529,YP1A0018ACA8529,Geometridae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,Ennominae,,Alcis,Alcis irrufata,
763,A0089,A,2A0089,A2,YP2A0089,Perrottetia_alpestris,Perrottetia_alpestrisACB1815,CATY004,16.3,YP2A0089CATY004,2,no,ACB1815,YP2A0089ACB1815,Geometridae,,,Celastraceae,Perrottetia,alpestris,,CelasPerralpe,,,,BOLD:ACB1815,
745,A0071,A,2A0071,A2,YP2A0071,Aglaia_rimosa,Aglaia_rimosaACB8986,CATY001,12.7,YP2A0071CATY001,1,yes,ACB8986,YP2A0071ACB8986,Geometridae,,,Meliaceae,Aglaia,rimosa,,MeliaAglarimo,Ennominae,,Paradromulia,Paradromulia sp.,
159,A0055,A,1A0055,A1,YP1A0055,Sloanea_tieghemii,Sloanea_tieghemiiACD3549,CATY018,26.5,YP1A0055CATY018,1,no,ACD3549,YP1A0055ACD3549,Tortricidae,,,Elaeocarpaceae,Sloanea,tieghemii,,ElaeoSloatieg,Tortricinae,,Diadelomorpha,,
1100,A0121,A,3A0121,A3,YP3A0121,Turpinia_pentandra,Turpinia_pentandraACD3549,CATY001,27.8,YP3A0121CATY001,1,yes,ACD3549,YP3A0121ACD3549,Tortricidae,,,Staphyleaceae,Turpinia,pentandra,,StaphTurppent,Tortricinae,,Diadelomorpha,,
777,A0092,A,2A0092,A2,YP2A0092,Sloanea_tieghemii,Sloanea_tieghemiiACD3549,CATY011,54.4,YP2A0092CATY011,6,no,ACD3549,YP2A0092ACD3549,Tortricidae,,,Elaeocarpaceae,Sloanea,tieghemii,,ElaeoSloatieg,Tortricinae,,Diadelomorpha,,
813,A0114,A,2A0114,A2,YP2A0114,Ficus_congesta,Ficus_congestaACD3622,CATY001,14.8,YP2A0114CATY001,1,yes,ACD3622,YP2A0114ACD3622,Tortricidae,,,Moraceae,Ficus,congesta,,MoracFicucong,Tortricinae,,*Cryptoptila,,
126,A0050,A,1A0050,A1,YP1A0050,Toona_sureni,Toona_sureniACD3861,CATY001,7.4,YP1A0050CATY001,1,yes,ACD3861,YP1A0050ACD3861,Tortricidae,,,Meliaceae,Toona,sureni,,MeliaToonsure,,,,BOLD:ACD3861,
92,A0029,A,1A0029,A1,YP1A0029,Sloanea_tieghemii,Sloanea_tieghemiiACK9384,CATY002,24.6,YP1A0029CATY002,1,no,ACK9384,YP1A0029ACK9384,Geometridae,,,Elaeocarpaceae,Sloanea,tieghemii,,ElaeoSloatieg,Ennominae,,Myrioblephara,,
145,A0055,A,1A0055,A1,YP1A0055,Sloanea_tieghemii,Sloanea_tieghemiiACK9384,CATY004,26.5,YP1A0055CATY004,1,no,ACK9384,YP1A0055ACK9384,Geometridae,,,Elaeocarpaceae,Sloanea,tieghemii,,ElaeoSloatieg,Ennominae,,Myrioblephara,,
151,A0055,A,1A0055,A1,YP1A0055,Sloanea_tieghemii,Sloanea_tieghemiiACK9384,CATY011,26.5,YP1A0055CATY011,1,no,ACK9384,YP1A0055ACK9384,Geometridae,,,Elaeocarpaceae,Sloanea,tieghemii,,ElaeoSloatieg,Ennominae,,Myrioblephara,,
153,A0055,A,1A0055,A1,YP1A0055,Sloanea_tieghemii,Sloanea_tieghemiiACK9384,CATY013,26.5,YP1A0055CATY013,1,no,ACK9384,YP1A0055ACK9384,Geometridae,,,Elaeocarpaceae,Sloanea,tieghemii,,ElaeoSloatieg,Ennominae,,Myrioblephara,,
154,A0055,A,1A0055,A1,YP1A0055,Sloanea_tieghemii,Sloanea_tieghemiiACK9384,CATY014,26.5,YP1A0055CATY014,1,no,ACK9384,YP1A0055ACK9384,Geometridae,,,Elaeocarpaceae,Sloanea,tieghemii,,ElaeoSloatieg,Ennominae,,Myrioblephara,,
160,A0055,A,1A0055,A1,YP1A0055,Sloanea_tieghemii,Sloanea_tieghemiiACK9384,CATY019,26.5,YP1A0055CATY019,2,no,ACK9384,YP1A0055ACK9384,Geometridae,,,Elaeocarpaceae,Sloanea,tieghemii,,ElaeoSloatieg,Ennominae,,Myrioblephara,,
784,A0092,A,2A0092,A2,YP2A0092,Sloanea_tieghemii,Sloanea_tieghemiiACK9384,CATY018,54.4,YP2A0092CATY018,1,no,ACK9384,YP2A0092ACK9384,Geometridae,,,Elaeocarpaceae,Sloanea,tieghemii,,ElaeoSloatieg,Ennominae,,Myrioblephara,,
742,A0068,A,2A0068,A2,YP2A0068,Aglaia_rimosa,Aglaia_rimosaACL2137,CATY001,10.0,YP2A0068CATY001,1,no,ACL2137,YP2A0068ACL2137,Geometridae,,,Meliaceae,Aglaia,rimosa,,MeliaAglarimo,,,,,
26,A0008,A,1A0008,A1,YP1A0008,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusACL2137,CATY017,12.0,YP1A0008CATY017,1,no,ACL2137,YP1A0008ACL2137,Geometridae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,,,,,
756,A0088,A,2A0088,A2,YP2A0088,Perrottetia_alpestris,Perrottetia_alpestrisACL2137,CATY004,18.7,YP2A0088CATY004,1,no,ACL2137,YP2A0088ACL2137,Geometridae,,,Celastraceae,Perrottetia,alpestris,,CelasPerralpe,,,,,
1771,A0209,A,4A0209,A4,YP4A0209,Elaeocarpus_sphaericus,Elaeocarpus_sphaericusACL2137,CATY005,23.8,YP4A0209CATY005,3,no,ACL2137,YP4A0209ACL2137,Geometridae,,,Elaeocarpaceae,Elaeocarpus,sphaericus,,ElaeoElaespha,,,,,
1785,A0230,A,4A0230,A4,YP4A0230,Sloanea_sogerensis,Sloanea_sogerensisACL2137,CATY007,33.3,YP4A0230CATY007,3,no,ACL2137,YP4A0230ACL2137,Geometridae,,,Elaeocarpaceae,Sloanea,sogerensis,,ElaeoSloasoge,,,,,
111,A0037,A,1A0037,A1,YP1A0037,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusACL2137,CATY009,34.3,YP1A0037CATY009,1,no,ACL2137,YP1A0037ACL2137,Geometridae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,,,,,
775,A0092,A,2A0092,A2,YP2A0092,Sloanea_tieghemii,Sloanea_tieghemiiACL2137,CATY009,54.4,YP2A0092CATY009,1,no,ACL2137,YP2A0092ACL2137,Geometridae,,,Elaeocarpaceae,Sloanea,tieghemii,,ElaeoSloatieg,,,,,
780,A0092,A,2A0092,A2,YP2A0092,Sloanea_tieghemii,Sloanea_tieghemiiACL2137,CATY014,54.4,YP2A0092CATY014,1,no,ACL2137,YP2A0092ACL2137,Geometridae,,,Elaeocarpaceae,Sloanea,tieghemii,,ElaeoSloatieg,,,,,
83,A0027,A,1A0027,A1,YP1A0027,Gastonia_spectabilis,Gastonia_spectabilisACL2137,CATY001,87.9,YP1A0027CATY001,1,yes,ACL2137,YP1A0027ACL2137,Geometridae,,,Araliaceae,Gastonia,spectabilis,,AraliGastspec,,,,,
34,A0018,A,1A0018,A1,YP1A0018,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusACL2137,CATY003,96.0,YP1A0018CATY003,1,no,ACL2137,YP1A0018ACL2137,Geometridae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,,,,,
67,A0018,A,1A0018,A1,YP1A0018,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusACL2137,CATY042,96.0,YP1A0018CATY042,1,no,ACL2137,YP1A0018ACL2137,Geometridae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,,,,,
68,A0018,A,1A0018,A1,YP1A0018,Elaeocarpus_dolichostylus,Elaeocarpus_dolichostylusACL2137,CATY043,96.0,YP1A0018CATY043,1,no,ACL2137,YP1A0018ACL2137,Geometridae,,,Elaeocarpaceae,Elaeocarpus,dolichostylus,,ElaeoElaedoli,,,,,
