sample_code,PLOT,PLOT,HABITAT,PLOT_CODE,obs_id,proj_code,sp_code,obs_date,plant family,plant genus,plant species,code,INTERACTION,morphspecies,ordo,insect family,insect genus,insect species,qty
WP1A2002,A2002,A,PRIMARY,AP,247048,W-CATS,GLYP001,2/19/2010,Urticaceae,Elatostema,novo-guineense,Elatnovo,ElatnovoGLYP001,,Lepidoptera,Glyphipterigidae,,,1
WP1A2002,A2002,A,PRIMARY,AP,247046,W-CATS,GLYP001,2/19/2010,Urticaceae,Elatostema,novo-guineense,Elatnovo,ElatnovoGLYP001,,Lepidoptera,Glyphipterigidae,,,1
WP1A2002,A2002,A,PRIMARY,AP,228490,W-CATS,GRAC002,2/19/2010,Urticaceae,Elatostema,novo-guineense,Elatnovo,ElatnovoGRAC002,,Lepidoptera,Elachistidae,Zaratha,,1
WP1A2002,A2002,A,PRIMARY,AP,210429,W-CATS,GRAC002,2/21/2010,Urticaceae,Elatostema,novo-guineense,Elatnovo,ElatnovoGRAC002,,Lepidoptera,Elachistidae,Zaratha,,1
WP1A2002,A2002,A,PRIMARY,AP,228488,W-CATS,GRAC002,2/19/2010,Urticaceae,Elatostema,novo-guineense,Elatnovo,ElatnovoGRAC002,,Lepidoptera,Elachistidae,Zaratha,,1
WP1A2002,A2002,A,PRIMARY,AP,228486,W-CATS,GRAC002,2/19/2010,Urticaceae,Elatostema,novo-guineense,Elatnovo,ElatnovoGRAC002,,Lepidoptera,Elachistidae,Zaratha,,1
WP1A2002,A2002,A,PRIMARY,AP,228489,W-CATS,GRAC002,2/19/2010,Urticaceae,Elatostema,novo-guineense,Elatnovo,ElatnovoGRAC002,,Lepidoptera,Elachistidae,Zaratha,,1
WP1B0054,B0054,B,PRIMARY,BP,222705,W-CATS,TORT071,3/9/2010,Sapotaceae,Palaquium,morobense,Palamoro,PalamoroTORT071,12.5,Lepidoptera,Immidae,Moca,congrualis,1
WP1B0058,B0058,B,PRIMARY,BP,237308,W-CATS,CHOR002,3/22/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrCHOR002,19.5,Lepidoptera,Choreutidae,Brenthia,salaconia,1
WP1B0058,B0058,B,PRIMARY,BP,211308,W-CATS,CHOR002,3/22/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrCHOR002,19.5,Lepidoptera,Choreutidae,Brenthia,salaconia,1
WP1B0058,B0058,B,PRIMARY,BP,211278,W-CATS,CHOR002,3/22/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrCHOR002,19.5,Lepidoptera,Choreutidae,Brenthia,salaconia,1
WP1B0058,B0058,B,PRIMARY,BP,211205,W-CATS,CHOR002,3/22/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrCHOR002,19.5,Lepidoptera,Choreutidae,Brenthia,salaconia,1
WP1B0058,B0058,B,PRIMARY,BP,211314,W-CATS,ELAC012,3/22/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrELAC012,19.5,Lepidoptera,Elachistidae,,,1
WP1B0058,B0058,B,PRIMARY,BP,211289,W-CATS,ELAC012,3/22/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrELAC012,19.5,Lepidoptera,Elachistidae,,,1
WP1B0058,B0058,B,PRIMARY,BP,247108,W-CATS,ELAC012,3/22/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrELAC012,19.5,Lepidoptera,Elachistidae,,,1
WP1B0058,B0058,B,PRIMARY,BP,227429,W-CATS,EUPT001,3/22/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrEUPT001,19.5,Lepidoptera,Eupterotidae,,,1
WP1B0067,B0067,B,PRIMARY,BP,222713,W-CATS,LYMA073,5/5/2010,Rhamnaceae,Ziziphus,angustifolia,Ziziangu,ZizianguLYMA073,13.7,Lepidoptera,Arctiidae,Chamaita,,1
WP1B0067,B0067,B,PRIMARY,BP,237803,W-CATS,NOCT143,5/5/2010,Rhamnaceae,Ziziphus,angustifolia,Ziziangu,ZizianguNOCT143,13.7,Lepidoptera,Noctuidae,,,1
WP1B0067,B0067,B,PRIMARY,BP,212497,W-CATS,XXXX113,5/5/2010,Rhamnaceae,Ziziphus,angustifolia,Ziziangu,ZizianguXXXX113,13.7,Lepidoptera,,,,1
WP1B0067,B0067,B,PRIMARY,BP,234556,W-CATS,XXXX113,5/5/2011,Rhamnaceae,Ziziphus,angustifolia,Ziziangu,ZizianguXXXX113,13.7,Lepidoptera,,,,1
WP1B0067,B0067,B,PRIMARY,BP,212227,W-CATS,XXXX113,5/5/2010,Rhamnaceae,Ziziphus,angustifolia,Ziziangu,ZizianguXXXX113,13.7,Lepidoptera,,,,1
WP1B0068,B0068,B,PRIMARY,BP,214662,W-CATS,ARCT014,6/14/2010,Sapindaceae,Pometia,pinnata,Pomepinn,PomepinnARCT014,59.6,Lepidoptera,Arctiidae,Trischalis,iridescens,1
WP1B0068,B0068,B,PRIMARY,BP,222415,W-CATS,ARCT014,6/14/2010,Sapindaceae,Pometia,pinnata,Pomepinn,PomepinnARCT014,59.6,Lepidoptera,Arctiidae,Trischalis,iridescens,1
WP1B0068,B0068,B,PRIMARY,BP,222085,W-CATS,GEOM009,6/14/2010,Sapindaceae,Pometia,pinnata,Pomepinn,PomepinnGEOM009,59.6,Lepidoptera,Geometridae,Catoria,delectaria,1
WP1B0068,B0068,B,PRIMARY,BP,214923,W-CATS,LYMA007,6/14/2010,Sapindaceae,Pometia,pinnata,Pomepinn,PomepinnLYMA007,59.6,Lepidoptera,Lymantriidae,Arctornis,intacta,1
WP1B0068,B0068,B,PRIMARY,BP,235315,W-CATS,LYMA007,6/14/2010,Sapindaceae,Pometia,pinnata,Pomepinn,PomepinnLYMA007,59.6,Lepidoptera,Lymantriidae,Arctornis,intacta,1
WP1B0068,B0068,B,PRIMARY,BP,246994,W-CATS,PIER002,6/14/2010,Sapindaceae,Pometia,pinnata,Pomepinn,PomepinnPIER002,59.6,Lepidoptera,Pieridae,,,1
WP1B0068,B0068,B,PRIMARY,BP,227887,W-CATS,PYRA051,6/14/2010,Sapindaceae,Pometia,pinnata,Pomepinn,PomepinnPYRA051,59.6,Lepidoptera,Pyralidae,Orthaga,percnodes,1
WP1B0068,B0068,B,PRIMARY,BP,214931,W-CATS,PYRA051,6/14/2010,Sapindaceae,Pometia,pinnata,Pomepinn,PomepinnPYRA051,59.6,Lepidoptera,Pyralidae,Orthaga,percnodes,1
WP1B0068,B0068,B,PRIMARY,BP,214929,W-CATS,PYRA051,6/14/2010,Sapindaceae,Pometia,pinnata,Pomepinn,PomepinnPYRA051,59.6,Lepidoptera,Pyralidae,Orthaga,percnodes,1
WP1B0068,B0068,B,PRIMARY,BP,214918,W-CATS,PYRA051,6/14/2010,Sapindaceae,Pometia,pinnata,Pomepinn,PomepinnPYRA051,59.6,Lepidoptera,Pyralidae,Orthaga,percnodes,1
WP1B0068,B0068,B,PRIMARY,BP,214932,W-CATS,PYRA051,6/14/2010,Sapindaceae,Pometia,pinnata,Pomepinn,PomepinnPYRA051,59.6,Lepidoptera,Pyralidae,Orthaga,percnodes,1
WP1B0068,B0068,B,PRIMARY,BP,214930,W-CATS,PYRA051,6/14/2010,Sapindaceae,Pometia,pinnata,Pomepinn,PomepinnPYRA051,59.6,Lepidoptera,Pyralidae,Orthaga,percnodes,1
WP1B0068,B0068,B,PRIMARY,BP,214510,W-CATS,PYRA051,6/14/2010,Sapindaceae,Pometia,pinnata,Pomepinn,PomepinnPYRA051,59.6,Lepidoptera,Pyralidae,Orthaga,percnodes,1
WP1B0081,B0081,B,PRIMARY,BP,247138,W-CATS,XXXX234,3/21/2010,Moraceae,Ficus,trachypison,Ficutrac,FicutracXXXX234,25,Lepidoptera,,,,1
WP1B2011,B2011,B,PRIMARY,BP,228484,W-CATS,GRAC002,3/19/2010,Urticaceae,Elatostema,novo-guineense,Elatnovo,ElatnovoGRAC002,,Lepidoptera,Elachistidae,Zaratha,,1
WP1B2011,B2011,B,PRIMARY,BP,234892,W-CATS,GRAC002,3/9/2010,Urticaceae,Elatostema,novo-guineense,Elatnovo,ElatnovoGRAC002,,Lepidoptera,Elachistidae,Zaratha,,1
WP1B2011,B2011,B,PRIMARY,BP,210446,W-CATS,GRAC002,3/9/2010,Urticaceae,Elatostema,novo-guineense,Elatnovo,ElatnovoGRAC002,,Lepidoptera,Elachistidae,Zaratha,,1
WP1B2011,B2011,B,PRIMARY,BP,228487,W-CATS,GRAC002,3/19/2010,Urticaceae,Elatostema,novo-guineense,Elatnovo,ElatnovoGRAC002,,Lepidoptera,Elachistidae,Zaratha,,1
WP1B2014,B2014,B,PRIMARY,BP,227607,W-CATS,TORT224,3/9/2010,Meliaceae,Chisocheton,lasiocarpus,Chislasi,ChislasiTORT224,,Lepidoptera,Tortricidae,,,1
WP1B2039,B2039,B,PRIMARY,BP,222692,W-CATS,TORT039,3/18/2010,Sapindaceae,Ziziphus,djamuensis,Zizidjam,ZizidjamTORT039,,Lepidoptera,Tortricidae,Xenothictis,gnetivora,1
WP1B2040,B2040,B,PRIMARY,BP,227608,W-CATS,TORT224,3/18/2010,Meliaceae,Chisocheton,cumingianus,Chiscumi,ChiscumiTORT224,,Lepidoptera,Tortricidae,,,1
WP1B2056,B2056,B,PRIMARY,BP,245652,W-CATS,EUPT001,3/18/2010,Loganiaceae,Strychnos,minor,Strymino,StryminoEUPT001,,Lepidoptera,Eupterotidae,,,1
WP1B2059,B2059,B,PRIMARY,BP,227076,W-CATS,TORT159,3/18/2010,Polygalaceae,Xanthophyllum,papuanum,Xantpapu,XantpapuTORT159,,Lepidoptera,Immidae,Imma,monastica,1
WP1B2059,B2059,B,PRIMARY,BP,227075,W-CATS,TORT159,3/18/2010,Polygalaceae,Xanthophyllum,papuanum,Xantpapu,XantpapuTORT159,,Lepidoptera,Immidae,Imma,monastica,1
WP1B2225,B2225,B,PRIMARY,BP,233544,W-CATS,ARCT020,5/5/2010,Celastraceae,Salacia,erythrocarpa,Salaeryt,SalaerytARCT020,,Lepidoptera,Arctiidae,Schistophleps,noloides,1
WP1C0060,C0060,C,PRIMARY,CP,228130,W-CATS,XXXX113,5/24/2010,Oleaceae,Chionanthus,sessiliflorus,Chiosess,ChiosessXXXX113,10.4,Lepidoptera,,,,1
WP1C0103,C0103,C,PRIMARY,CP,222714,W-CATS,LYMA073,5/25/2010,Myristicaceae,Gymnacranthera,paniculata,Gymnpani,GymnpaniLYMA073,8.3,Lepidoptera,Arctiidae,Chamaita,,1
WP1C0103,C0103,C,PRIMARY,CP,226472,W-CATS,TORT040,5/25/2010,Myristicaceae,Gymnacranthera,paniculata,Gymnpani,GymnpaniTORT040,8.3,Lepidoptera,Tortricidae,Homona,mermerodes,1
WP1C0104,C0104,C,PRIMARY,CP,235338,W-CATS,CRAM037,5/27/2010,Rubiaceae,Mastixiodendron,pachyclados,Mastpach,MastpachCRAM037,29.6,Lepidoptera,Crambidae,Parotis,suralis,1
WP1C0106,C0106,C,PRIMARY,CP,234487,W-CATS,CHOR002,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrCHOR002,7.9,Lepidoptera,Choreutidae,Brenthia,salaconia,1
WP1C0106,C0106,C,PRIMARY,CP,212653,W-CATS,CHOR002,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrCHOR002,7.9,Lepidoptera,Choreutidae,Brenthia,salaconia,1
WP1C0106,C0106,C,PRIMARY,CP,213028,W-CATS,CHOR002,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrCHOR002,7.9,Lepidoptera,Choreutidae,Brenthia,salaconia,1
WP1C0106,C0106,C,PRIMARY,CP,212763,W-CATS,CHOR011,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrCHOR011,7.9,Lepidoptera,Choreutidae,Choreutis,,1
WP1C0106,C0106,C,PRIMARY,CP,213107,W-CATS,CHOR011,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrCHOR011,7.9,Lepidoptera,Choreutidae,Choreutis,,1
WP1C0106,C0106,C,PRIMARY,CP,236504,W-CATS,CHOR011,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrCHOR011,7.9,Lepidoptera,Choreutidae,Choreutis,,1
WP1C0106,C0106,C,PRIMARY,CP,222754,W-CATS,CRAM006,5/24/2011,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrCRAM006,7.9,Lepidoptera,Crambidae,Talanga,sexpunctalis,1
WP1C0106,C0106,C,PRIMARY,CP,222750,W-CATS,CRAM006,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrCRAM006,7.9,Lepidoptera,Crambidae,Talanga,sexpunctalis,1
WP1C0106,C0106,C,PRIMARY,CP,212762,W-CATS,CRAM006,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrCRAM006,7.9,Lepidoptera,Crambidae,Talanga,sexpunctalis,1
WP1C0106,C0106,C,PRIMARY,CP,212920,W-CATS,CRAM006,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrCRAM006,7.9,Lepidoptera,Crambidae,Talanga,sexpunctalis,1
WP1C0106,C0106,C,PRIMARY,CP,227271,W-CATS,LIMA016,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrLIMA016,7.9,Lepidoptera,Limacodidae,Mambara,,1
WP1C0106,C0106,C,PRIMARY,CP,212668,W-CATS,LYMA073,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrLYMA073,7.9,Lepidoptera,Arctiidae,Chamaita,,1
WP1C0106,C0106,C,PRIMARY,CP,234152,W-CATS,LYMA073,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrLYMA073,7.9,Lepidoptera,Arctiidae,Chamaita,,1
WP1C0106,C0106,C,PRIMARY,CP,222055,W-CATS,PYRA044,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrPYRA044,7.9,Lepidoptera,Crambidae,Glyphodes,canthusalis,1
WP1C0106,C0106,C,PRIMARY,CP,213300,W-CATS,TORT022,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrTORT022,7.9,Lepidoptera,Tortricidae,Adoxophyes,thoracica,1
WP1C0106,C0106,C,PRIMARY,CP,234287,W-CATS,TORT022,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrTORT022,7.9,Lepidoptera,Tortricidae,Adoxophyes,thoracica,1
WP1C0106,C0106,C,PRIMARY,CP,231705,W-CATS,TORT040,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrTORT040,7.9,Lepidoptera,Tortricidae,Homona,mermerodes,1
WP1C0106,C0106,C,PRIMARY,CP,212798,W-CATS,TORT051,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrTORT051,7.9,Lepidoptera,Tortricidae,Homona,phanaea,1
WP1C0106,C0106,C,PRIMARY,CP,213288,W-CATS,TORT051,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrTORT051,7.9,Lepidoptera,Tortricidae,Homona,phanaea,1
WP1C0106,C0106,C,PRIMARY,CP,212657,W-CATS,TORT051,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrTORT051,7.9,Lepidoptera,Tortricidae,Homona,phanaea,1
WP1C0106,C0106,C,PRIMARY,CP,237211,W-CATS,TORT051,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrTORT051,7.9,Lepidoptera,Tortricidae,Homona,phanaea,1
WP1C0106,C0106,C,PRIMARY,CP,221919,W-CATS,TORT051,5/25/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrTORT051,7.9,Lepidoptera,Tortricidae,Homona,phanaea,1
WP1C0106,C0106,C,PRIMARY,CP,222695,W-CATS,TORT071,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrTORT071,7.9,Lepidoptera,Immidae,Moca,congrualis,1
WP1C0106,C0106,C,PRIMARY,CP,222704,W-CATS,TORT071,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrTORT071,7.9,Lepidoptera,Immidae,Moca,congrualis,1
WP1C0106,C0106,C,PRIMARY,CP,222028,W-CATS,TORT122,5/24/2010,Moraceae,Ficus,rubrivestimenta,Ficurubr,FicurubrTORT122,7.9,Lepidoptera,Immidae,Imma,,1
